Number	English	Tw	Nd	Ke	WP	Bl	Ad	Kl	Ki	Ab	Km	Sw	We	pAP	
		0	1	2	1	3	4	5	1	6	6		7		
350	yawn	xaxar	alaw ga'a supi	agur		ayloy	"alowo alawuhu (voiceless /w/ in /alowo/), /ʔaʔan baliŋ/ 'sigh'"	mɛtɛ́k	agú	ahau	awak		awaki	-	
		0	5	0		4	5	3	0	0	2		2		
351	rub	tood	tudu	"todo 'rub, as bathing', osong 'rub, as oil into skin'"	si'ang	osoŋ	luhuʔ (also 'wipe')	ɔi	ulús	weluuk	luh	"aroosa, puso"	araos	-	
		0	0	0	2	3	4	5	4	6	4	7	8		
352	scratch	kikar	tua	"krabis, tuu"	"baraggas, karasi"	tuá	tuʔuʔ	kəbɛr	ukuberi	kafi	faki	"suruku, kapari"	kepir	-	
		0	1	1	2	1	3	4	4	4	5	4	4		
353	itchy	qa:q	qaqa	xaxo	kaka	káka	kakaʔ	ka:k	rok	jokung	ilukui		iruk	-	
		0	0	0	0	1	2	0	3	3	3		3		
354	swell	wuran	wara	waro	halua	vára	falaʔ	uwɑr	bati	we-patia	fasi- 	atuŋ	atu	-	
		0	4	0	0	0	0	0	1	2	2	3	3		
355	wait	warah	graani	garing	walang	ʔadiŋ	ʔadana	"emei, lel, wrep"	amante	"here, ne-re"	-reide	waaka	"legadar ('tunggu, jaga')"	-	
		0	1	2	0	3	3	4	5	6	7	8	9		
357	to fold	gəfilax	poya	bliko	"paukung, lukking"	lepét	paliʔi	"gdim, klat, pal"	galúk	haluk˺	tapoo	-kupi	pod awuli	-	
		0	1	2	3	4	4	6	7	7	8	9	10		
358	to give	gəmiyan	ma-gena	megeng	gania	meʔenaŋ	ʔεnεʔ	gɛn	"gei, gana"	"hede, minede ‘give me’"	me –n	garani	wa genir	*-ena	
		0	0	0	0	0	0	0	0	1	0	0	2	0	
359	help	gunmola	gomoli	mulag		aiŋ moliŋ	ʔukaraŋ	"her, moi, moil"	gomoni	netulung ‘bantu saya’	"tolon, buh"	tulong	gemosi	-	
		0	0	1		0	2	0	3	4	5	6	7		
360	wipe	aap	api	apo	"lui, yabbi"	hapo	luhuʔ	mɪlʊr	basan	we-luuk	luh	saara	lipu	-	
		0	10	11	1	2	3	4	5	6	9	7	8		
362	"burn, shine"	dee	yi'a	dee	war	ade	tub	gopɛ	gei	hiede	saara	"waka, laata"	dali lur	*Vde	
		0	1	0	2	0	3	4	5	0	6	7	8		
363	shine	liar			diala	bolor	tub	idil	suul	tulung	wobika	"mataani (light), soolang (shine)"	dial lur ʔ	-	
		0			1	2	3	1	5	6	7	8	1		
365	dry in sun	mawudan	wadora	poring	puaring	póriŋ	fεd poi	ʊpur	ber garain	tek	-sak	po:pɒrɔ (not quite dry)	lewidilei	*por	
		0	1	2	3	2	2	2	5	6	6	2	7	2	
366	"search, hunt for"	wuraq	lafi	rapo	gallang	rapiŋ	la:p	əlɛl	gorap	tahai	-faafa	laawa	lewena	-	
		1	0	0	2	0	0	6	0	3	4	5	5		
368	"chase away, expel"	gətiar	getiala	getero	"gabuttir, galu"	"teri, sika ‘sound to shoo a dog’, bura ‘sound to shoo a chicken’, sambe ‘sound to shoo a goat’"	arlili	lobei	"gapateri, galur"	"he-tei, ha-loi"	"fanenee, -sorot"	"tiira, diila"	"milakal ('usir'), gapanter ('kejar')"	*tiara	
		0	0	0	1	0	2	3	4	0	5	0	6	0	
369	to cut	taxa'	taxana	pətako	lu'ung	"parás ‘cut’, toniŋ ‘slice’"	tafεʔε 	gəbok	garoit	ha-wek	batat	"waaka, sumo"	gepesi	-	
		0	0	1	2	3	4	5	6	8	8	9	10		
370	to cut down	goor	bubu	goro	bailang	hibá	ʔaboʔoi	hban	kob	tukong (tukoong ‘to work’)	bui		koli	-	
		0	1	0	2	3	4	3	5	6	7		8		
371	to split	qas	bəlapa	gaxasi	bakung	kay	adid	hol	keni	kadel	karei	kadali	kedeli	-	
		0	1	0	2	0	4	5	6	7	8	9	9		
372	to divide	paxai	peci	qanang	daai	hurak	ʔabaʔaŋ	"gbak, gwai (divide evenly)"	gawali	yeng	kabih	"bakaara, saawang, yoosara"	bakár	-	
		0	1	2	3	4	5	6	7	8	9	6	6		
373	stab	tap	tappa	qaxo	garung 'to plant'	jawak	"tεʔε 'to stab, to plant, to cut'"	tɛk	"tak 'to plant', "	"takda 'to plant', tilok 'to stab'"	tafe	suwe	suai	-	
		0	0	1	2	3	1	1	1	1	0	2	2		
374	to fight	təfeo	pakki	tabayung	takkang	tóta	"sariŋ bini (lit., each other fight)"	tɛic	taburin	"taluk, kawai"	taaka	takitaaka	takawai	-	
		0	1	0	2	3	4	3	6	7	8	8	8		
375	to guard	wanboxon	ta'uli	bukang	baukang	gəréyaŋ	ʔubuʔuŋ	"buuk, toot"	golela	"weree, fukong"	pukan		lagadar	*bukan	
		0	1	2	2	3	2	2	4	2	2		5	2	
376	scared	arar	te'i	rexo	"hundar, pali"	dádi	baruc	edɑn	tamén	mielang	-biee	gamiilaŋ	na-umeng ('saya takut')	-	
		0	1	2	3	4	5	6	7	8	9	8	7		
377	angry	om kəlexel	"amdidi (angry feeling), karang (angry action)"	temaaring	arugga	tomilil	ariʔiŋ	"cek, cok, eek, mar, tbak"	ganíngin	teeba	-biee	soorang	nesorong ('saya marah')	-	
		0	1	2	3	0	4	5	6	7	8	9	9		
378	to throw	wantaar	watala	good	kummar	odá	Od	gɔɔd	gor	huor	-tfa	paka	wokor	*-od	
		1	1	0	2	0	0	0	0	0	3	4	5	0	
379	to dig	xan	janna	ano	hannang	hanaŋ	aluŋ	ʊrɪn	téri	teu	tee	tii	tei	-	
		0	2	0	0	1	3	3	4	5	5	5	5		
380	to bury	traxa'	pamma	traxo	pammung	tərów	ʔapat	pot	nuk	nabuk	pidak	luuki	areing	-	
		0	1	2	1	2	4	4	5	6	7	8	9		
381	float	tiri	teri	tering	tera	tediŋ	tεdεʔ	tətɛd	teebal	tauiti	laka		seli	-	
		0	1	0	2	3	3	3	4	5	6		7		
382	to flow	tootan	karári	toto'	salili	totu	tawoi (voiceless w)	təwɛɛl	tewéli	tavel	tawei	wiikala	wekel	-	
		0	1	0	2	0	3	3	3	3	3	4	4		
383	to hold	wanpin	pinni	pino'	pinni	pempiná	ʔapun	gopʊɪn	gapúna	puna	fun	"gawunni 'hold', punni 'to hit'"	"woing 'to hold', poing 'to hit'"	*pVN2	
		0	0	0	0	0	0	0	0	0	0	0	0	0	
383	to hold	wanpin	pinni	pino'	pinni	pempiná	ʔapun	gopʊɪn	gapúna	puna	fun	"gawunni 'hold', punni 'to hit'"	"woing 'to hold', poing 'to hit'"	*pVn	
		0	0	0	0	0	0	0	0	0	0	0	1	0	
383	to hold	wanpin	pinni	pino'	pinni	pempiná	ʔapun	gopʊɪn	gapúna	puna	fun	"gawunni 'hold', punni 'to hit'"	"woing 'to hold', poing 'to hit'"	*pVn	
		0	0	0	0	0	0	0	0	0	0	1	0	0	
383	to hold	wanpin	pinni	pino'	pinni	pempiná	ʔapun	gopʊɪn	gapúna	puna	fun	"gawunni 'hold', punni 'to hit'"	"woing 'to hold', poing 'to hit'"	*pVn	
		0	0	0	0	0	0	0	0	0	0	1	1	0	
384	to tie	praat	aafi	pato'	"tiddi, ussing"	"nodaŋ, patar"	ʔapeceʔ	pɑt	upat	kode	fal	taliŋ	lekoi	-	
		0	1	2	3	0	2	2	2	4	5	6	7		
385	to play	iga'miar	igamoya	mulay	mudali	mumal	haʔor	kukʊi	namoli	muila	kolkol	galaali	nelali ('saya bermain')	-	
		0	0	1	2	3	4	5	1	1	6	7	7		
386	to pull	kiri	kiri	ker	biddi	avak	ʔabiʔiŋ	gəbɪk	gabik	ha-fik	ileh	gamiikaŋ	gemekeng	-	
		0	1	0	2	3	4	4	4	4	5	6	6		
387	to push	dumar	doba	gətobung	"tumbu, diung"	tobaŋ	adoʔo	gruum	gadom	ha-suongra	-sooran	"gabooka, saala"	"gbok, asók, mes"	-	
		0	1	2	3	11	4	5	6	7	8	9	10		
388	to turn	wanpiar	"wagiya, magiya"	dan		ebáŋ	ʔdimiŋ	gəwɑr	ugawali	ha-lik-da	miakii	gawaari	migetenuku	-	
		0	1	2		3	4	5	6	7	8	5	9		
389	choose	wantray	talaci	təraqo	nuta	hay	taraʔa	igin	mi'i	ahia	woii	"ilulung, inising, loomang"	ilemel	-	
		0	1	2	3	4	2	5	6	7	8	9	10		
390	grow	kutan	kuta	yiling	ilang	bilaŋ	abowoʔ	"bah, bong"	eil	merang	boo	karu	kur	-	
		0	0	1	1	2	3	4	5	6	8	7	7		
391	squeeze	pruu	məlaci	pəru	"ding, long"	pemek	ʔamataŋ	ep	manés	ajak	aleh		"aresi, lumusi"	-	
		0	1	0	2	3	4	5	6	7	8		8		
393	sell	ʔan		meano	aring	bali		"taan, uilik"	ulik	balik	baila	we		-	
		0		1	2	3		4	4	5	6	7			
395	to open	xas	cakana	beling	sakking	bakuŋ	duliŋ	"as, bak, bang, gbir, hkek, raak"	gaki	we-haliel	sui	"laka, pating"	lak	-	
		0	1	2	3	4	5	6	7	8	9	10	10		
396	to close	sabar		wan-tering	tiaring	ven-teriŋ	watεlε	uter	uteri	we-hai	tan	-tiira	leter	*-tiari(n)	
		5		0	1	0	0	0	0	2	3	0	4	0	
397	climb	mir	sira	"yekeng, sero 'go down'"	karakas	oa hira	midiʔ	"mde, mid, mod, pkas"	podi	(hong) mira	-pan	"mada, mudaata"	wakar	*mid	
		0	6	1	2	1	0	0	3	0	4	0	5		
399	right	yidan	yeding	teney	yadding	"tataŋ aw (lit., ‘good hand’)"	tne	tənɛ	nokol	teikang	kang	kaaŋ	kang	-	
		0	0	1	0	2	3	3	4	5	5	5	5		
400	left	dexer	tala'o	waxor	ikki	"tataŋ jasi (lit., ‘bad hand’)"	fiʔing	iik	ikal	teibiki	ela		sorong	-	
		0	1	2	3	4	5	6	7	8	9		10		
