Number	English	Tw	Nd	Ke	WP	Bl	Ad	Kl	Ki	Ab	Km	Sw	We	pAP
390	grow	kutan	kuta	yiling	ilang	bilaŋ	abowo?	"bah, bong"	eil	merang	boo	karu	kur	-
391	squeeze	pruu	məlaci	pəru	"ding, long"	pemek	?amataN	ep	manés	ajak	aleh		"aresi, lumusi"	-
392	buy	gəmian	ali	walo	uddang	béli	wEl (voiceless w)		eli	bel	baila	ali	ali	
393	sell	?an		meano	aring	bali		"taan, uilik"	ulik	balik	baila	we		-
394	steal	taxaw	taxawa	taxawo	haddung	tavi	ta?au	tka	takao	takau	takaawa	takoo	tekau	
395	to open	xas	cakana	beling	sakking	bakuŋ	duliN	"as, bak, bang, gbir, hkek, raak"	gaki	we-haliel	sui	"laka, pating"	lak	-
396	to close	sabar		wan-tering	tiaring	ven-teriŋ	watElE	uter	uteri	we-hai	tan	-tiira	leter	*-tiari(n)
397	climb	mir	sira	"yekeng, sero 'go down'"	karakas	oa hira	midi?	"mde, mid, mod, pkas"	podi	(hong) mira	-pan	"mada, mudaata"	wakar	*mid
398	hide	iga'	uni	iga	unning	majaŋ	tawuniN	tuquin	teluki	bunua	-bun	"peela, wuni"	awoing	
399	right	yidan	yeding	teney	yadding	"tataŋ aw (lit., ‘good hand’)"	tne	tənɛ	nokol	teikang	kang	kaaŋ	kang	-
400	left	dexer	tala'o	waxor	ikki	"tataŋ jasi (lit., ‘bad hand’)"	fi?ing	iik	ikal	teibiki	ela		sorong	-
401	old woman	quaf	bamala (old woman)	qalam 'old woman'	kuba	meet ‘old woman’	tuma?a	kulwɪn	kakaleta	fingkang	saak	saaku	saku	-
